"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R580","2019-09-16 00:00:00","10.000","47.000","1.000","25.400","-99.000","1005.900","-99.000","54.500","-99.000","-99.000","-99.000","31.700","","24.200",""
"C0Z330","2019-09-16 00:00:00","488.000","334.000","0.500","22.100","0.950","955.700","-99.000","2.000","-99.000","-99.000","-99.000","32.000","","22.000",""
"C0E590","2019-09-16 00:00:00","40.000","101.000","1.100","24.800","0.890","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","22.800",""
"C0D540","2019-09-16 00:00:00","227.000","61.000","0.900","22.700","0.920","982.700","-99.000","1.000","-99.000","-99.000","-99.000","27.500","","20.800",""
"C0K420","2019-09-16 00:00:00","42.000","0.000","0.000","26.300","0.810","1002.000","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0Z180","2019-09-16 00:00:00","34.000","244.000","0.400","26.700","0.800","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","25.600",""
"C0AD10","2019-09-16 00:00:00","27.000","62.000","1.300","26.500","0.810","1005.400","-99.000","33.500","-99.000","-99.000","-99.000","28.900","","25.200",""
"C0M720","2019-09-16 00:00:00","225.000","357.000","0.600","23.800","0.950","981.700","-99.000","12.500","-99.000","-99.000","-99.000","30.600","","23.800",""
"C0V450","2019-09-16 00:00:00","51.000","0.000","0.200","25.500","0.990","1001.300","-99.000","20.500","-99.000","-99.000","-99.000","31.600","","24.500",""
"C0R280","2019-09-16 00:00:00","242.000","0.000","0.000","23.100","-99.000","979.700","-99.000","15.000","-99.000","-99.000","-99.000","30.300","","22.600",""
"C0E610","2019-09-16 00:00:00","850.000","90.000","0.300","20.800","0.780","915.000","-99.000","0.000","-99.000","-99.000","-99.000","25.200","","20.300",""
"C0V610","2019-09-16 00:00:00","22.000","186.000","2.100","27.700","0.830","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","26.600",""
"C0Z310","2019-09-16 00:00:00","59.000","357.000","0.800","25.600","0.900","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","24.700",""
"C0S700","2019-09-16 00:00:00","507.000","234.000","0.700","22.200","0.910","953.000","-99.000","5.500","-99.000","-99.000","-99.000","29.100","","22.000",""
"C0T9G0","2019-09-16 00:00:00","605.000","232.000","0.700","22.000","0.990","943.400","-99.000","0.000","-99.000","-99.000","-99.000","28.100","","21.300",""
